:Data_list: wingkp_list.txt
:Created: 2016 Jan 04 0601 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
#
# Units: Predicted Index 0-9 in Kp units
#
# Solar Wind Source: ACE Satellite.  Wing Kp data provided by USAF AFWA.
# The value -1 in the report indicates missing data.
#
#                      USAF 15-minute Wing Kp Geomagnetic Activity Index
#
#                        1-hour         1-hour        4-hour         4-hour     
# UT Date   Time      Predicted Time  Predicted    Predicted Time  Predicted   USAF Est.
# YR MO DA  HHMM      YR MO DA  HHMM    Index      YR MO DA  HHMM    Index        Kp    
#---------------------------------------------------------------------------------------
2016 01 03  2215    2016 01 03  2315     1.33    2016 01 04  0215     1.00       1.67
2016 01 03  2230    2016 01 03  2330     1.33    2016 01 04  0230     1.00       1.67
2016 01 03  2245    2016 01 03  2344     1.33    2016 01 04  0244     1.00       1.67
2016 01 03  2300    2016 01 04  0000     1.33    2016 01 04  0300     1.00       1.67
2016 01 03  2315    2016 01 04  0015     1.33    2016 01 04  0315     1.00       1.67
2016 01 03  2330    2016 01 04  0029     1.33    2016 01 04  0329     0.67       1.67
2016 01 03  2345    2016 01 04  0045     2.33    2016 01 04  0345     1.67       1.67
2016 01 04  0000    2016 01 04  0100     2.00    2016 01 04  0400     1.33       0.33
2016 01 04  0015    2016 01 04  0114     1.67    2016 01 04  0414     1.33       0.33
2016 01 04  0030    2016 01 04  0130     1.67    2016 01 04  0430     1.33       0.33
2016 01 04  0045    2016 01 04  0145     1.00    2016 01 04  0445     0.67       0.33
2016 01 04  0100    2016 01 04  0159     1.00    2016 01 04  0459     1.00       0.33
2016 01 04  0115    2016 01 04  0215     1.33    2016 01 04  0515     1.00       0.33
2016 01 04  0130    2016 01 04  0230     1.33    2016 01 04  0530     1.00       0.33
2016 01 04  0145    2016 01 04  0244     1.67    2016 01 04  0544     1.33       0.33
2016 01 04  0200    2016 01 04  0300     1.67    2016 01 04  0600     1.33       0.33
2016 01 04  0215    2016 01 04  0315     1.67    2016 01 04  0615     1.33       0.33
2016 01 04  0230    2016 01 04  0329     1.67    2016 01 04  0629     1.33       0.33
2016 01 04  0245    2016 01 04  0345     1.33    2016 01 04  0645     1.00       0.33
2016 01 04  0300    2016 01 04  0400     1.33    2016 01 04  0700     1.00       0.33
2016 01 04  0315    2016 01 04  0414     1.33    2016 01 04  0714     1.00       0.33
2016 01 04  0330    2016 01 04  0430     1.33    2016 01 04  0730     1.00       0.33
2016 01 04  0345    2016 01 04  0445     0.67    2016 01 04  0745     0.33       0.33
2016 01 04  0400    2016 01 04  0459     0.67    2016 01 04  0759     0.67       0.33
2016 01 04  0415    2016 01 04  0515     1.00    2016 01 04  0815     0.67       0.33
2016 01 04  0430    2016 01 04  0530     1.00    2016 01 04  0830     0.67       0.33
2016 01 04  0445    2016 01 04  0544     0.67    2016 01 04  0844     0.33       0.33
2016 01 04  0500    2016 01 04  0600     0.67    2016 01 04  0900     0.33       0.33
2016 01 04  0515    2016 01 04  0615     1.00    2016 01 04  0915     0.67       0.33
2016 01 04  0530    2016 01 04  0629     1.00    2016 01 04  0929     0.67       0.33
2016 01 04  0545    2016 01 04  0645     1.33    2016 01 04  0945     1.00       0.33
2016 01 04  0600    2016 01 04  0700     1.33    2016 01 04  1000     1.00       0.33
